1150000000	-901364
1153750000	-924613
1157500000	-941938
1161250000	-963713
1165000000	-982177
1168750000	-999721
1172500000	-1017443
1176250000	-1035553
1180000000	-1053054
1183750000	-1068627
1187500000	-1078966
1191250000	-1087933
1195000000	-1093111
1198750000	-1091040
1202500000	-1098458
1206250000	-1094117
1210000000	-1088662
1213750000	-1080716
1217500000	-1069211
1221250000	-1059212
1225000000	-1050896
1228750000	-1035944
1232500000	-1022951
1236250000	-1007690
1240000000	-991940
1243750000	-979293
1247500000	-961881
1251250000	-943986
1255000000	-928319
1258750000	-916483
1262500000	-898273
1266250000	-885069
1270000000	-857724
1273750000	-842391
1277500000	-821056
1281250000	-800240
1285000000	-779572
1288750000	-751153
1292500000	-725223
1296250000	-695487
1300000000	-667919
1303750000	-641724
1307500000	-613770
1311250000	-587575
1315000000	-560733
1318750000	-538181
1322500000	-515609
1326250000	-496322
1330000000	-471770
1333750000	-456770
1337500000	-436974
1341250000	-424964
1345000000	-411081
1348750000	-394780
1352500000	-384877
1356250000	-371558
1360000000	-358192
1363750000	-351795
1367500000	-341833
1371250000	-333248
1375000000	-323649
1378750000	-319947
1382500000	-312816
1386250000	-304895
1390000000	-299957
1393750000	-295866
1397500000	-292619
1401250000	-294023
1405000000	-292913
1408750000	-293786
1412500000	-299650
1416250000	-303107
1420000000	-306762
1423750000	-310858
1427500000	-316827
1431250000	-321808
1435000000	-324132
1438750000	-332516
1442500000	-335877
1446250000	-340873
1450000000	-350581
1453750000	-357707
1457500000	-367313
1461250000	-377418
1465000000	-389188
1468750000	-397641
1472500000	-408055
1476250000	-421113
1480000000	-428427
1483750000	-439575
1487500000	-449996
1491250000	-460281
1495000000	-470735
1498750000	-480776
1502500000	-491315
1506250000	-499115
1510000000	-506232
1513750000	-514605
1517500000	-519594
1521250000	-526755
1525000000	-532881
1528750000	-535674
1532500000	-545693
1536250000	-552015
1540000000	-558485
1543750000	-563876
1547500000	-566791
1551250000	-577982
1555000000	-586927
1558750000	-589128
1562500000	-594096
1566250000	-604654
1570000000	-614523
1573750000	-618598
1577500000	-626300
1581250000	-630877
1585000000	-634299
1588750000	-640350
1592500000	-647764
1596250000	-652209
1600000000	-660183
1603750000	-661567
1607500000	-668426
1611250000	-672002
1615000000	-675537
1618750000	-679272
1622500000	-683431
1626250000	-684720
1630000000	-688506
1633750000	-693263
1637500000	-696914
1641250000	-700972
1645000000	-702666
1648750000	-707915
1652500000	-712783
1656250000	-720610
1660000000	-720929
1663750000	-723155
1667500000	-724978
1671250000	-729210
1675000000	-733871
1678750000	-732917
1682500000	-734534
1686250000	-734192
1690000000	-729862
1693750000	-735446
1697500000	-733590
1701250000	-737984
1705000000	-730582
1708750000	-732283
1712500000	-727120
1716250000	-723066
1720000000	-719969
1723750000	-717993
1727500000	-711630
1731250000	-708685
1735000000	-704896
1738750000	-706138
1742500000	-702792
1746250000	-698638
1750000000	-693088
1753750000	-692211
1757500000	-681566
1761250000	-676743
1765000000	-666977
1768750000	-658211
1772500000	-649555
1776250000	-633644
1780000000	-624746
1783750000	-610037
1787500000	-599022
1791250000	-582179
1795000000	-570388
1798750000	-553794
1802500000	-543862
1806250000	-526232
1810000000	-514696
1813750000	-500296
1817500000	-489699
1821250000	-474151
1825000000	-472071
1828750000	-465127
1832500000	-456913
1836250000	-448858
1840000000	-447125
1843750000	-447441
1847500000	-450512
1851250000	-457661
1855000000	-462611
1858750000	-476431
1862500000	-504054
1866250000	-527936
1870000000	-561511
1873750000	-605920
1877500000	-657414
1881250000	-715253
1885000000	-787627
1888750000	-859836
1892500000	-952354
1896250000	-1047430
1900000000	-1151798
1903750000	-1264120
1907500000	-1397268
1911250000	-1531384
1915000000	-1688842
1918750000	-1847602
1922500000	-2018856
1926250000	-2214039
1930000000	-2402387
1933750000	-2608479
1937500000	-2827128
1941250000	-3051089
1945000000	-3283742
1948750000	-3526215
1952500000	-3771623
1956250000	-4014989
1960000000	-4266806
1963750000	-4518913
1967500000	-4777512
1971250000	-5037820
1975000000	-5295217
1978750000	-5551724
1982500000	-5815200
1986250000	-6077312
1990000000	-6334232
1993750000	-6602051
1997500000	-6863477
2001250000	-7125237
2005000000	-7398363
2008750000	-7661263
2012500000	-7929419
2016250000	-8201507
2020000000	-8468461
2023750000	-8735372
2027500000	-9003747
2031250000	-9260645
2035000000	-9526141
2038750000	-9776779
2042500000	-10028010
2046250000	-10273070
2050000000	-10527300
2053750000	-10766240
2057500000	-10996370
2061250000	-11223320
2065000000	-11456530
2068750000	-11682270
2072500000	-11907240
2076250000	-12117560
2080000000	-12330470
2083750000	-12553390
2087500000	-12761780
2091250000	-12976750
2095000000	-13177790
2098750000	-13384280
2102500000	-13579370
2106250000	-13782000
2110000000	-13976080
2113750000	-14168810
2117500000	-14355430
2121250000	-14543210
2125000000	-14721330
2128750000	-14907090
2132500000	-15086380
2136250000	-15249640
2140000000	-15416490
2143750000	-15575860
2147500000	-15742890
2151250000	-15894940
2155000000	-16050690
2158750000	-16201890
2162500000	-16353140
2166250000	-16493580
2170000000	-16642050
2173750000	-16787730
2177500000	-16921550
2181250000	-17062180
2185000000	-17207130
2188750000	-17345440
2192500000	-17481190
2196250000	-17608070
2200000000	-17737960
2203750000	-17870410
2207500000	-17995810
2211250000	-18120800
2215000000	-18238170
2218750000	-18364010
2222500000	-18461450
2226250000	-18571480
2230000000	-18676750
2233750000	-18777990
2237500000	-18871560
2241250000	-18970330
2245000000	-19052940
2248750000	-19149500
2252500000	-19232490
2256250000	-19316370
2260000000	-19390500
2263750000	-19470890
2267500000	-19539110
2271250000	-19610740
2275000000	-19684430
2278750000	-19748660
2282500000	-19810120
2286250000	-19893120
2290000000	-19950970
2293750000	-20016990
2297500000	-20082340
2301250000	-20140160
2305000000	-20206670
2308750000	-20275860
2312500000	-20330120
2316250000	-20391080
2320000000	-20433890
2323750000	-20491960
2327500000	-20519520
2331250000	-20568350
2335000000	-20590360
2338750000	-20632160
2342500000	-20650960
2346250000	-20664750
2350000000	-20688550
2353750000	-20698860
2357500000	-20715040
2361250000	-20717450
2365000000	-20722660
2368750000	-20722080
2372500000	-20733980
2376250000	-20742630
2380000000	-20738070
2383750000	-20751090
2387500000	-20751460
2391250000	-20763130
2395000000	-20773970
2398750000	-20774450
2402500000	-20779050
2406250000	-20774350
2410000000	-20771990
2413750000	-20757130
2417500000	-20754590
2421250000	-20736330
2425000000	-20715420
2428750000	-20686210
2432500000	-20652050
2436250000	-20607120
2440000000	-20559320
2443750000	-20511220
2447500000	-20454070
2451250000	-20401060
2455000000	-20345640
2458750000	-20290620
2462500000	-20228020
2466250000	-20167110
2470000000	-20101470
2473750000	-20044020
2477500000	-19992040
2481250000	-19935410
2485000000	-19884340
2488750000	-19829980
2492500000	-19798320
2496250000	-19743520
2500000000	-19682290
2503750000	-19629960
2507500000	-19560700
2511250000	-19500070
2515000000	-19429290
2518750000	-19357690
2522500000	-19277630
2526250000	-19186050
2530000000	-19088990
2533750000	-18991280
2537500000	-18888190
2541250000	-18780530
2545000000	-18661900
2548750000	-18542940
2552500000	-18411720
2556250000	-18300890
2560000000	-18179260
2563750000	-18058780
2567500000	-17940720
2571250000	-17811850
2575000000	-17689580
2578750000	-17570460
2582500000	-17450390
2586250000	-17327760
2590000000	-17214390
2593750000	-17084910
2597500000	-16959360
2601250000	-16824710
2605000000	-16689530
2608750000	-16550270
2612500000	-16414040
2616250000	-16265230
2620000000	-16112680
2623750000	-15944720
2627500000	-15786140
2631250000	-15617460
2635000000	-15447160
2638750000	-15270610
2642500000	-15088930
2646250000	-14904910
2650000000	-14713680
2653750000	-14534030
2657500000	-14339000
2661250000	-14145950
2665000000	-13952860
2668750000	-13757970
2672500000	-13554040
2676250000	-13358460
2680000000	-13159400
2683750000	-12943360
2687500000	-12735880
2691250000	-12525380
2695000000	-12306360
2698750000	-12096000
2702500000	-11870450
2706250000	-11635450
2710000000	-11408060
2713750000	-11178510
2717500000	-10935800
2721250000	-10694700
2725000000	-10447840
2728750000	-10203860
